principio_ativo_limpo,categoria_terapeutica,total_produtos_registrados,produtos_principais,empresas_principais,popularidade_mercado,diversidade_formulacoes,texto_completo_busca,texto_resumo_busca
Alfasimoctocogue,Outros,1,Nuwiq,02552927000160 - OCTAPHARMA BRASIL LTDA,baixa,baixa,Medicamento: Alfasimoctocogue | Principio Ativo:  ALFASIMOCTOCOGUE | Classe Terapeutica: ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: Nuwiq | Total de Produtos: 1,Alfasimoctocogue - Outros
Acetato De Racealfatocoferol Acido Folico,Vitaminas,2,ENVID; UREAC,49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Racealfatocoferol Acido Folico | Principio Ativo: ACETATO DE RACEALFATOCOFEROL +  ÁCIDO FÓLICO | Classe Terapeutica: VITAMINAS | Categoria: Vitaminas | Produtos Comerciais: ENVID; UREAC | Total de Produtos: 2,Acetato De Racealfatocoferol Acido Folico - Vitaminas
Acetato De Retinol Acetato De Tocoferol Biotina Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fosfato Dicalcico Fumarato Ferroso Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Manganes Acido Ascorbico Acido Folico Oxido De Cobre Oxido De Magnesio Oxido De Zinco,Outros,1,MATERSUPRE,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A,baixa,baixa,Medicamento: Acetato De Retinol Acetato De Tocoferol Biotina Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fosfato Dicalcico Fumarato Ferroso Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Manganes Acido Ascorbico Acido Folico Oxido De Cobre Oxido De Magnesio Oxido De Zinco | Principio Ativo: ACETATO DE RETINOL +  ACETATO DE TOCOFEROL +  BIOTINA +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FOSFATO DICÁLCICO +  FUMARATO FERROSO +  MONONITRATO DE TIAMINA +  NICOTINAMIDA +  PANTOTENATO DE CÁLCIO +  RIBOFLAVINA +  SULFATO DE MANGANÊS +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO DE COBRE +  ÓXIDO DE MAGNÉSIO +  ÓXIDO DE ZINCO | Classe Terapeutica: POLIVITAMINICOS + SAIS MINERAIS | Categoria: Outros | Produtos Comerciais: MATERSUPRE | Total de Produtos: 1,Acetato De Retinol Acetato De Tocoferol Biotina Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fosfato Dicalcico Fumarato Ferroso Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Manganes Acido Ascorbico Acido Folico Oxido De Cobre Oxido De Magnesio Oxido De Zinco - Outros
Acetato De Retinol Aminoacidos Cloranfenicol Metionina (11 C),Outros,1,REGENCEL,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Acetato De Retinol Aminoacidos Cloranfenicol Metionina (11 C) | Principio Ativo: ACETATO DE RETINOL +  AMINOÁCIDOS +  CLORANFENICOL +  METIONINA (11 C) | Classe Terapeutica: OUTROS MEDICAMENTOS COM ACAO NO APARELHO VISUAL | Categoria: Outros | Produtos Comerciais: REGENCEL | Total de Produtos: 1,Acetato De Retinol Aminoacidos Cloranfenicol Metionina (11 C) - Outros
Acetato De Retinol Cianocobalamina Cloridrato De Piridoxina Cloridrato De Tiamina Colecalciferol Cristalizado Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Magnesio Sulfato De Manganes Sulfato Ferroso,Outros,1,GRETIVIT,18324343000177 - BELFAR LTDA,baixa,baixa,Medicamento: Acetato De Retinol Cianocobalamina Cloridrato De Piridoxina Cloridrato De Tiamina Colecalciferol Cristalizado Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Magnesio Sulfato De Manganes Sulfato Ferroso | Principio Ativo: ACETATO DE RETINOL +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  COLECALCIFEROL CRISTALIZADO +  NICOTINAMIDA +  PANTOTENATO DE CALCIO +  RIBOFLAVINA +  SULFATO DE MAGNÉSIO +  SULFATO DE MANGANÊS +  SULFATO FERROSO | Classe Terapeutica: POLIVITAMINICOS COM MINERAIS | Categoria: Outros | Produtos Comerciais: GRETIVIT | Total de Produtos: 1,Acetato De Retinol Cianocobalamina Cloridrato De Piridoxina Cloridrato De Tiamina Colecalciferol Cristalizado Nicotinamida Pantotenato De Calcio Riboflavina Sulfato De Magnesio Sulfato De Manganes Sulfato Ferroso - Outros
Acetato De Retinol Cloridrato De Piridoxina Colecalciferol,Outros,1,HAAR INTERN,29346301000153 - LABORATÓRIO FARMACÊUTICO VITAMED LTDA,baixa,baixa,Medicamento: Acetato De Retinol Cloridrato De Piridoxina Colecalciferol | Principio Ativo: ACETATO DE RETINOL +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL | Classe Terapeutica: POLIVITAMINICOS SEM MINERAIS | Categoria: Outros | Produtos Comerciais: HAAR INTERN | Total de Produtos: 1,Acetato De Retinol Cloridrato De Piridoxina Colecalciferol - Outros
Acetato De Retinol Colecalciferol,Outros,2,AD-TIL; AD-VITAM,61082426000207 - COSMED INDUSTRIA DE COSMETICOS E MEDICAMENTOS S.A.; 02456955000183 - NATULAB LABORATÓRIO S.A,baixa,baixa,Medicamento: Acetato De Retinol Colecalciferol | Principio Ativo: ACETATO DE RETINOL +  COLECALCIFEROL | Classe Terapeutica: POLIVITAMINICOS SEM MINERAIS | Categoria: Outros | Produtos Comerciais: AD-TIL; AD-VITAM | Total de Produtos: 2,Acetato De Retinol Colecalciferol - Outros
Acetato De Rezafungina,Outros,1,REZZAYO,15127898000130 - MUNDIPHARMA BRASIL PRODUTOS MÉDICOS E FARMACÊUTICOS LTDA,baixa,baixa,Medicamento: Acetato De Rezafungina | Principio Ativo: ACETATO DE REZAFUNGINA | Classe Terapeutica: ANTI-FUNGICOS | Categoria: Outros | Produtos Comerciais: REZZAYO | Total de Produtos: 1,Acetato De Rezafungina - Outros
Acetato De Sodio Tri-Hidratado,Outros,1,ACETATO DE SÓDIO,05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,baixa,baixa,Medicamento: Acetato De Sodio Tri-Hidratado | Principio Ativo: ACETATO DE SÓDIO TRI-HIDRATADO  | Classe Terapeutica: ELETROLITOS SIMPLES | Categoria: Outros | Produtos Comerciais: ACETATO DE SÓDIO | Total de Produtos: 1,Acetato De Sodio Tri-Hidratado - Outros
Acetato De Sodio Tri-Hidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Potassio Cloridrato De Lisina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Tirosina Treonina Triptofano Metionina (11 C,Outros,1,KABIVEN,49324221000104 - FRESENIUS KABI BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Sodio Tri-Hidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Potassio Cloridrato De Lisina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Tirosina Treonina Triptofano Metionina (11 C | Principio Ativo: ACETATO DE SÓDIO TRI-HIDRATADO  +  ALANINA +  ARGININA +  CLORETO DE CÁLCIO DI-HIDRATADO +  CLORETO DE POTÁSSIO +  CLORIDRATO DE LISINA +  FENILALANINA +  GLICEROFOSFATO DE SÓDIO +  GLICINA +  GLICOSE MONOIDRATADA +  HISTIDINA +  ISOLEUCINA +  LEUCINA +  LEVOVALINA +  PROLINA +  SERINA +  SULFATO DE MAGNÉSIO HEPTAIDRATADO +  TIROSINA +  TREONINA +  TRIPTOFANO +  METIONINA (11 C | Classe Terapeutica: NUTRIENTES PARENTERAIS | Categoria: Outros | Produtos Comerciais: KABIVEN | Total de Produtos: 1,Acetato De Sodio Tri-Hidratado Alanina Arginina Cloreto De Calcio Di-Hidratado Cloreto De Potassio Cloridrato De Lisina Fenilalanina Glicerofosfato De Sodio Glicina Glicose Monoidratada Histidina Isoleucina Leucina Levovalina Prolina Serina Sulfato De Magnesio Heptaidratado Tirosina Treonina Triptofano Metionina (11 C - Outros
Acetato De Sodio Tri-Hidratado Cloreto De Magnesio Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio,Outros,1,PLASMA LYTE,49351786000261 - BAXTER HOSPITALAR LTDA,baixa,baixa,Medicamento: Acetato De Sodio Tri-Hidratado Cloreto De Magnesio Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio | Principio Ativo: ACETATO DE SÓDIO TRI-HIDRATADO  +  CLORETO DE MAGNÉSIO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  GLICONATO DE SÓDIO | Classe Terapeutica: REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL | Categoria: Outros | Produtos Comerciais: PLASMA LYTE | Total de Produtos: 1,Acetato De Sodio Tri-Hidratado Cloreto De Magnesio Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio - Outros
Acetato De Sodio Trihidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio,Outros,2,PLASMAFUNDIN; PLASMAISTAR,31673254000102 - LABORATÓRIOS B. BRAUN S/A; 01571702000198 - HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,baixa,baixa,Medicamento: Acetato De Sodio Trihidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio | Principio Ativo: ACETATO DE SÓDIO TRIHIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  GLICONATO DE SÓDIO | Classe Terapeutica: REPOSICAO HIDROELETROLITICA E ALIMENTACAO PARENTERAL | Categoria: Outros | Produtos Comerciais: PLASMAFUNDIN; PLASMAISTAR | Total de Produtos: 2,Acetato De Sodio Trihidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Gliconato De Sodio - Outros
Acetato De Sodio Triidratado Citrato De Sodio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Cloreto De Calcio Diidratado,Outros,1,SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR,01571702000198 - HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,baixa,baixa,Medicamento: Acetato De Sodio Triidratado Citrato De Sodio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Cloreto De Calcio Diidratado | Principio Ativo: ACETATO DE SÓDIO TRIIDRATADO +  CITRATO DE SÓDIO DI-HIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  CLORETO DE CÁLCIO DIIDRATADO | Classe Terapeutica: MEDICAMENTOS COM ACAO NO APARELHO VISUAL | Categoria: Outros | Produtos Comerciais: SOLUÇÃO SALINA BALANCEADA - HALEX ISTAR | Total de Produtos: 1,Acetato De Sodio Triidratado Citrato De Sodio Di-Hidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Cloreto De Calcio Diidratado - Outros
Acetato De Sodio Triidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Hidroxietilamido Cloreto De Calcio Diidratado,Respiratorio,1,ISTARHES,01571702000198 - HALEX ISTAR INDÚSTRIA FARMACÊUTICA SA,baixa,baixa,Medicamento: Acetato De Sodio Triidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Hidroxietilamido Cloreto De Calcio Diidratado | Principio Ativo: ACETATO DE SÓDIO TRIIDRATADO +  CLORETO DE MAGNÉSIO HEXAIDRATADO +  CLORETO DE POTÁSSIO +  CLORETO DE SÓDIO +  HIDROXIETILAMIDO +  CLORETO DE CÁLCIO DIIDRATADO | Classe Terapeutica: SUBSTITUTOS DO PLASMA E EXPANSORES PLASMATICOS | Categoria: Respiratorio | Produtos Comerciais: ISTARHES | Total de Produtos: 1,Acetato De Sodio Triidratado Cloreto De Magnesio Hexaidratado Cloreto De Potassio Cloreto De Sodio Hidroxietilamido Cloreto De Calcio Diidratado - Respiratorio
Acetato De Terlipressina,Outros,3,GLYPRESSIN; acetato de terlipressina; TERGLY,74232034000148 - LABORATÓRIOS FERRING LTDA; 14665928000108 - VOLPHARMA DISTRIBUIDORA DE PRODUTOS HOSPITALARES E FARMACÊUTICO,baixa,media,Medicamento: Acetato De Terlipressina | Principio Ativo: ACETATO DE TERLIPRESSINA | Classe Terapeutica: OUTROS PRODUTOS ANTI-HEMORRAGICOS | Categoria: Outros | Produtos Comerciais: GLYPRESSIN; acetato de terlipressina; TERGLY | Total de Produtos: 3,Acetato De Terlipressina - Outros
Acetato De Tocoferol Adenosina Biotina Bitartarato De Colina Cianocobalamina Cloridrato De Piridoxina Fosfato De Calcio Dibasico Inositol Nicotinamida Palmitato De Retinol Panax Ginseng C. A. Mey. Pantotenato De Calcio Riboflavina Sulfato Ferroso Tiamina Levometionina Acido Ascorbico Acido Folico,Vitaminas,1,NATUS GERIN,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetato De Tocoferol Adenosina Biotina Bitartarato De Colina Cianocobalamina Cloridrato De Piridoxina Fosfato De Calcio Dibasico Inositol Nicotinamida Palmitato De Retinol Panax Ginseng C. A. Mey. Pantotenato De Calcio Riboflavina Sulfato Ferroso Tiamina Levometionina Acido Ascorbico Acido Folico | Principio Ativo: ACETATO DE TOCOFEROL +  ADENOSINA +  BIOTINA +  BITARTARATO DE COLINA +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  FOSFATO DE CÁLCIO DIBÁSICO +  INOSITOL +  NICOTINAMIDA +  PALMITATO DE RETINOL +  PANAX GINSENG C. A. MEY. +  PANTOTENATO DE CALCIO +  RIBOFLAVINA +  SULFATO FERROSO +  TIAMINA +  LEVOMETIONINA +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO | Classe Terapeutica: VITAMINAS OU MINERAIS ASSOCIADOS A OUTROS FARMACOS | Categoria: Vitaminas | Produtos Comerciais: NATUS GERIN | Total de Produtos: 1,Acetato De Tocoferol Adenosina Biotina Bitartarato De Colina Cianocobalamina Cloridrato De Piridoxina Fosfato De Calcio Dibasico Inositol Nicotinamida Palmitato De Retinol Panax Ginseng C. A. Mey. Pantotenato De Calcio Riboflavina Sulfato Ferroso Tiamina Levometionina Acido Ascorbico Acido Folico - Vitaminas
Acetato De Tocoferol Alantoina Colecalciferol Palmitato De Retinol,Dermatologico,1,VITADERME,44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,baixa,baixa,Medicamento: Acetato De Tocoferol Alantoina Colecalciferol Palmitato De Retinol | Principio Ativo: ACETATO DE TOCOFEROL +  ALANTOÍNA +  COLECALCIFEROL +  PALMITATO DE RETINOL | Classe Terapeutica: OUTROS PRODUTOS COM ACAO NA PELE E MUCOSAS | Categoria: Dermatologico | Produtos Comerciais: VITADERME | Total de Produtos: 1,Acetato De Tocoferol Alantoina Colecalciferol Palmitato De Retinol - Dermatologico
Acetato De Tocoferol Aspartato De Magnesio Aspartato De Potassio Cloridrato De Piridoxina Cloridrato De Tiamina Riboflavina,Vitaminas,1,CAZIGERAN,44010437000181 - CAZI QUIMICA FARMACEUTICA INDUSTRIA E COMERCIO LTDA,baixa,baixa,Medicamento: Acetato De Tocoferol Aspartato De Magnesio Aspartato De Potassio Cloridrato De Piridoxina Cloridrato De Tiamina Riboflavina | Principio Ativo: ACETATO DE TOCOFEROL +  ASPARTATO DE MAGNÉSIO +  ASPARTATO DE POTÁSSIO +  CLORIDRATO DE PIRIDOXINA +  CLORIDRATO DE TIAMINA +  RIBOFLAVINA | Classe Terapeutica: VITAMINAS E SUPLEMENTOS MINERAIS | Categoria: Vitaminas | Produtos Comerciais: CAZIGERAN | Total de Produtos: 1,Acetato De Tocoferol Aspartato De Magnesio Aspartato De Potassio Cloridrato De Piridoxina Cloridrato De Tiamina Riboflavina - Vitaminas
Acetato De Tocoferol Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Palmitato De Retinol Riboflavina Tiamina Acido Ascorbico Acido Folico Oxido De Zinco,Outros,1,NATELE,18459628000115 - BAYER S.A.,baixa,baixa,Medicamento: Acetato De Tocoferol Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Palmitato De Retinol Riboflavina Tiamina Acido Ascorbico Acido Folico Oxido De Zinco | Principio Ativo: ACETATO DE TOCOFEROL +  CARBONATO DE CÁLCIO +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  COLECALCIFEROL +  FUMARATO FERROSO +  NICOTINAMIDA +  PALMITATO DE RETINOL +  RIBOFLAVINA +  TIAMINA +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO DE ZINCO | Classe Terapeutica: POLIVITAMINICOS COM MINERAIS | Categoria: Outros | Produtos Comerciais: NATELE | Total de Produtos: 1,Acetato De Tocoferol Carbonato De Calcio Cianocobalamina Cloridrato De Piridoxina Colecalciferol Fumarato Ferroso Nicotinamida Palmitato De Retinol Riboflavina Tiamina Acido Ascorbico Acido Folico Oxido De Zinco - Outros
Acetato De Tocoferol Cianocobalamina Cloridrato De Piridoxina Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Riboflavina Sulfato De Zinco Acido Ascorbico Acido Folico Oxido De Cobre,Outros,1,MULTIVITAM,00394452000103 - COMANDO DO EXÉRCITO,baixa,baixa,Medicamento: Acetato De Tocoferol Cianocobalamina Cloridrato De Piridoxina Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Riboflavina Sulfato De Zinco Acido Ascorbico Acido Folico Oxido De Cobre | Principio Ativo: ACETATO DE TOCOFEROL +  CIANOCOBALAMINA +  CLORIDRATO DE PIRIDOXINA +  MONONITRATO DE TIAMINA +  NICOTINAMIDA +  PANTOTENATO DE CALCIO +  PANTOTENATO DE CÁLCIO +  RIBOFLAVINA +  SULFATO DE ZINCO +  ÁCIDO ASCÓRBICO +  ÁCIDO FÓLICO +  ÓXIDO DE COBRE | Classe Terapeutica: POLIVITAMINICOS COM MINERAIS | Categoria: Outros | Produtos Comerciais: MULTIVITAM | Total de Produtos: 1,Acetato De Tocoferol Cianocobalamina Cloridrato De Piridoxina Mononitrato De Tiamina Nicotinamida Pantotenato De Calcio Pantotenato De Calcio Riboflavina Sulfato De Zinco Acido Ascorbico Acido Folico Oxido De Cobre - Outros
Acetato De Triptorrelina,Gastrointestinal,2,GONAPEPTYL DAILY; GONAPEPTYL DEPOT,74232034000148 - LABORATÓRIOS FERRING LTDA,baixa,baixa,Medicamento: Acetato De Triptorrelina | Principio Ativo: ACETATO DE TRIPTORRELINA | Classe Terapeutica: OUTROS PRODUTOS PARA O APARELHO DIGESTIVO E METABOLISMO | Categoria: Gastrointestinal | Produtos Comerciais: GONAPEPTYL DAILY; GONAPEPTYL DEPOT | Total de Produtos: 2,Acetato De Triptorrelina - Gastrointestinal
Acetato De Zinco,Outros,1,"Acetato de Zinco 0,5 mEq/mL",05155425000193 - CASULA & VASCONCELOS INDÚSTRIA FARMACÊUTICA E COMÉRCIO LTDA,baixa,baixa,"Medicamento: Acetato De Zinco | Principio Ativo: ACETATO DE ZINCO | Classe Terapeutica: SOLUÇÕES QUE AJUSTAM O BALANÇO ELETROLÍTICO | Categoria: Outros | Produtos Comerciais: Acetato de Zinco 0,5 mEq/mL | Total de Produtos: 1",Acetato De Zinco - Outros
Acetato De Zuclopentixol Decanoato De Zuclopentixol Dicloridrato De Zuclopentixol,Outros,1,CLOPIXOL,04522600000170 - LUNDBECK BRASIL LTDA,baixa,baixa,Medicamento: Acetato De Zuclopentixol Decanoato De Zuclopentixol Dicloridrato De Zuclopentixol | Principio Ativo: ACETATO DE ZUCLOPENTIXOL +  DECANOATO DE ZUCLOPENTIXOL +  DICLORIDRATO DE ZUCLOPENTIXOL | Classe Terapeutica: NEUROLEPTICOS | Categoria: Outros | Produtos Comerciais: CLOPIXOL | Total de Produtos: 1,Acetato De Zuclopentixol Decanoato De Zuclopentixol Dicloridrato De Zuclopentixol - Outros
Acetazolamida,Outros,1,DIAMOX,60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A,baixa,baixa,Medicamento: Acetazolamida | Principio Ativo: ACETAZOLAMIDA | Classe Terapeutica: DIURETICOS SIMPLES | Categoria: Outros | Produtos Comerciais: DIAMOX | Total de Produtos: 1,Acetazolamida - Outros
Acetilcisteina,Outros,34,ACETILCISTEINA; ACETILCISTEÍNA; AIRES,61190096000192 - EUROFARMA LABORATÓRIOS S.A.; 05161069000110 - BRAINFARMA INDÚSTRIA QUÍMICA E FARMACÊUTICA S.A; 60659463002992 - ACHÉ LABORATÓRIOS FARMACÊUTICOS S.A,alta,alta,Medicamento: Acetilcisteina | Principio Ativo: ACETILCISTEÍNA | Classe Terapeutica: EXPECTORANTES BALSAMICOS E MUCOLITICO | Categoria: Outros | Produtos Comerciais: ACETILCISTEINA; ACETILCISTEÍNA; AIRES | Total de Produtos: 34,Acetilcisteina - Outros
Acetonida De Triancinolona,Outros,6,ACETONIDA DE TRIANCINOLONA; ALLENASAL; NASACORT,03485572000104 - GEOLAB INDÚSTRIA FARMACÊUTICA S/A; 10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 38391432000143 - OPELLA HEALTHCARE BRAZIL LTDA,media,media,Medicamento: Acetonida De Triancinolona | Principio Ativo: ACETONIDA DE TRIANCINOLONA | Classe Terapeutica: GLICOCORTICOIDES TOP. SIMP. EXC. USO OFTALM. | Categoria: Outros | Produtos Comerciais: ACETONIDA DE TRIANCINOLONA; ALLENASAL; NASACORT | Total de Produtos: 6,Acetonida De Triancinolona - Outros
Acetonida De Triancinolona Gramicidina Nistatina Sulfato De Neomicina,Dermatologico,1,ONCILEG,05044984000126 - LEGRAND PHARMA INDÚSTRIA FARMACÊUTICA LTDA,baixa,baixa,Medicamento: Acetonida De Triancinolona Gramicidina Nistatina Sulfato De Neomicina | Principio Ativo: ACETONIDA DE TRIANCINOLONA +  GRAMICIDINA +  NISTATINA +  SULFATO DE NEOMICINA | Classe Terapeutica: ANTINFECCIOSOS TOPICOS-ASSOCIACOES MEDICAMENTOSAS | Categoria: Dermatologico | Produtos Comerciais: ONCILEG | Total de Produtos: 1,Acetonida De Triancinolona Gramicidina Nistatina Sulfato De Neomicina - Dermatologico
Achillea Millefolium L. Aconitum Napellus Arnica Montana L. Atropa Belladonna Bellis Perennis Calendula Officinalis L. Echinacea Angustifolia Dc. Echinacea Purpurea (L.) Moench Hamamelis Virginiana L. Hepar Sulfuris Hypericum Perforatum Matricaria Chamomilla L. Mercurius Solubilis Symphytum Officinale L. Hepar Sulfuris,Outros,2,MOTIX; TRAUMEEL S,33349473000158 - FARMOQUÍMICA S/A; 05994539000127 - HEEL DO BRASIL BIOMÉDICA LTDA,baixa,baixa,Medicamento: Achillea Millefolium L. Aconitum Napellus Arnica Montana L. Atropa Belladonna Bellis Perennis Calendula Officinalis L. Echinacea Angustifolia Dc. Echinacea Purpurea (L.) Moench Hamamelis Virginiana L. Hepar Sulfuris Hypericum Perforatum Matricaria Chamomilla L. Mercurius Solubilis Symphytum Officinale L. Hepar Sulfuris | Principio Ativo: ACHILLEA MILLEFOLIUM L. +  ACONITUM NAPELLUS +  ARNICA MONTANA L. +  ATROPA BELLADONNA +  BELLIS PERENNIS +  CALENDULA OFFICINALIS L. +  ECHINACEA ANGUSTIFOLIA DC. +  ECHINACEA PURPUREA (L.) MOENCH +  HAMAMELIS VIRGINIANA L. +  HEPAR SULFURIS +  HYPERICUM PERFORATUM +  MATRICARIA CHAMOMILLA L. +  MERCURIUS SOLUBILIS +  SYMPHYTUM OFFICINALE L. +  HEPAR SULFURIS | Classe Terapeutica: MEDICAMENTOS DINAMIZADOS COMPOSTOS | Categoria: Outros | Produtos Comerciais: MOTIX; TRAUMEEL S | Total de Produtos: 2,Achillea Millefolium L. Aconitum Napellus Arnica Montana L. Atropa Belladonna Bellis Perennis Calendula Officinalis L. Echinacea Angustifolia Dc. Echinacea Purpurea (L.) Moench Hamamelis Virginiana L. Hepar Sulfuris Hypericum Perforatum Matricaria Chamomilla L. Mercurius Solubilis Symphytum Officinale L. Hepar Sulfuris - Outros
Aciclovir,Outros,44,ACICLOMED; ACICLOR; ACICLOVIR,02814497000107 - CIMED INDUSTRIA S.A; 92695691000103 - KLEY HERTZ FARMACEUTICA S.A; 44734671000151 - CRISTÁLIA PRODUTOS QUÍMICOS FARMACÊUTICOS LTDA.,alta,alta,Medicamento: Aciclovir | Principio Ativo: ACICLOVIR | Classe Terapeutica: ANTIVIROTICOS (INIBE REPLICACAO VIROTICA) | Categoria: Outros | Produtos Comerciais: ACICLOMED; ACICLOR; ACICLOVIR | Total de Produtos: 44,Aciclovir - Outros
Aciclovir Aciclovir Sodico,Outros,5,ACICLOVIR; EZOPEN; UNI-VIR,17159229000176 - LABORATÓRIO TEUTO BRASILEIRO S/A; 60665981000118 - UNIÃO QUÍMICA FARMACÊUTICA NACIONAL S/A; 61190096000192 - EUROFARMA LABORATÓRIOS S.A.,media,media,Medicamento: Aciclovir Aciclovir Sodico | Principio Ativo: ACICLOVIR +  ACICLOVIR SÓDICO | Classe Terapeutica: ANTIVIROTICOS | Categoria: Outros | Produtos Comerciais: ACICLOVIR; EZOPEN; UNI-VIR | Total de Produtos: 5,Aciclovir Aciclovir Sodico - Outros
Aciclovir Amoxicilina Claritromicina Lansoprazol,Outros,1,TESTE CA 29298,11111111000191 - EMPRESA DE TESTE LTDA. (VS01),baixa,baixa,Medicamento: Aciclovir Amoxicilina Claritromicina Lansoprazol | Principio Ativo: ACICLOVIR +  AMOXICILINA +  CLARITROMICINA +  LANSOPRAZOL | Classe Terapeutica: 4-DIMETILAMINOFENOL + ABÉTIMO | Categoria: Outros | Produtos Comerciais: TESTE CA 29298 | Total de Produtos: 1,Aciclovir Amoxicilina Claritromicina Lansoprazol - Outros
Aciclovir Sodico,Outros,3,ZYNVIR; aciclovir sódico; ZORVY,49324221000104 - FRESENIUS KABI BRASIL LTDA; 58430828000160 - BLAU FARMACÊUTICA S.A.,baixa,media,Medicamento: Aciclovir Sodico | Principio Ativo: ACICLOVIR SÓDICO | Classe Terapeutica: ANTIVIROTICOS (INIBE REPLICACAO VIROTICA) | Categoria: Outros | Produtos Comerciais: ZYNVIR; aciclovir sódico; ZORVY | Total de Produtos: 3,Aciclovir Sodico - Outros
Acido Acetilsalicilico,Analgesico,4,AAS; DORMEC; ECASIL-81,10588595001092 - SANOFI MEDLEY FARMACÊUTICA LTDA.; 08055634000153 - IMEC - INDÚSTRIA DE MEDICAMENTOS CUSTÓDIA LTDA; 49475833000106 - BIOLAB SANUS FARMACÊUTICA LTDA,baixa,media,Medicamento: Acido Acetilsalicilico | Principio Ativo: ACIDO ACETILSALICILICO | Classe Terapeutica: ANALGESICOS NAO NARCOTICOS | Categoria: Analgesico | Produtos Comerciais: AAS; DORMEC; ECASIL-81 | Total de Produtos: 4,Acido Acetilsalicilico - Analgesico
